EM_PREDICTION,IMP_Flash_Point,IMP_Sp.Gr.@_6060_deg.F,P_Viscosity,sample_id,sample_point_id,Viscosity,_dmIndex_,_PartInd_
3.1052238767,80.0000,1.0455,3.1052238767,1912046255,OL2-SC231,3.1603,1000001,1
3.1420105913,84.0000,1.0445,3.1420105913,2001001068,OL2-SC231,3.0038,1000002,0
3.110540107,82.0000,1.0446,3.110540107,2001002570,OL2-SC231,3.0980,1000003,1
3.0826206125,79.0000,1.0451,3.0826206125,2001004165,OL2-SC231,3.1040,1000004,0
3.1699702419,83.0000,1.0463,3.1699702419,2001005492,OL2-SC231,3.2740,1000005,0
3.230658731,85.0000,1.0471,3.230658731,2001006773,OL2-SC231,3.4760,1000006,1
3.2684478561,87.0000,1.0468,3.2684478561,2001008464,OL2-SC231,3.4188,1000007,2
3.1980775863,84.0000,1.0467,3.1980775863,2001010054,OL2-SC231,3.2764,1000008,1
3.2098678717,85.0000,1.0464,3.2098678717,2001011866,OL2-SC231,3.4480,1000009,1
3.1619054007,84.0000,1.0453,3.1619054007,2001013471,OL2-SC231,3.4002,1000010,0
3.2133480404,86.0000,1.0457,3.2133480404,2001015102,OL2-SC231,3.4400,1000011,1
3.1417638303,84.0000,1.0445,3.1417638303,2001016500,OL2-SC231,3.3140,1000012,0
3.1129529315,82.0000,1.0447,3.1129529315,2001017814,OL2-SC231,3.3440,1000013,1
3.0733737942,80.0000,1.0442,3.0733737942,2001019462,OL2-SC231,3.2720,1000014,0
3.1055203925,81.0000,1.0450,3.1055203925,2001021090,OL2-SC231,3.3680,1000015,1
3.1468115541,83.0000,1.0454,3.1468115541,2001022774,OL2-SC231,3.4060,1000016,1
3.1772060277,83.0000,1.0466,3.1772060277,2001024413,OL2-SC231,3.4954,1000017,1
3.3461369367,89.0000,1.0476,3.3461369367,2001026018,OL2-SC231,3.5150,1000018,0
3.2845965905,88.0000,1.0465,3.2845965905,2001027376,OL2-SC231,3.3760,1000019,1
3.2645509166,86.0000,1.0475,3.2645509166,2001028624,OL2-SC231,3.4230,1000020,0
3.317342786,88.0000,1.0476,3.317342786,2001030239,OL2-SC231,3.4611,1000021,0
3.1542564224,84.0000,1.0450,3.1542564224,2001031857,OL2-SC231,3.2333,1000022,0
3.109844812,83.0000,1.0439,3.109844812,2001033567,OL2-SC231,3.1150,1000023,1
6.5707325576,86.5192,1.0864,6.5707325576,2003002520,OL2-SC231,11.0250,1000024,0
6.9615097448,98.0000,1.0809,6.9615097448,2003004198,OL2-SC231,8.8270,1000025,2
5.1464322881,91.0000,1.0737,5.1464322881,2003006216,OL2-SC231,5.8339,1000026,2
4.9741506302,94.0000,1.0700,4.9741506302,2003007847,OL2-SC231,5.5599,1000027,1
4.3129521148,91.0000,1.0648,4.3129521148,2003009521,OL2-SC231,4.5858,1000028,1
4.3456775088,95.0000,1.0621,4.3456775088,2003010983,OL2-SC231,4.3395,1000029,0
4.6312465934,101.0000,1.0601,4.6312465934,2003012270,OL2-SC231,3.9883,1000030,1
4.0889825794,87.0000,1.0644,4.0889825794,2003013977,OL2-SC231,4.3620,1000031,1
3.8935946284,84.0000,1.0630,3.8935946284,2003014445,OL2-SC231,4.2780,1000032,0
4.4229857248,92.0000,1.0655,4.4229857248,2003015648,OL2-SC231,4.6020,1000033,0
5.1275939672,98.0000,1.0681,5.1275939672,2003017456,OL2-SC231,5.1536,1000034,1
5.4738086606,105.0000,1.0650,5.4738086606,2003019167,OL2-SC231,4.3661,1000035,1
3.9500815412,84.0000,1.0639,3.9500815412,2003020892,OL2-SC231,3.9217,1000036,0
4.0588902755,85.0000,1.0650,4.0588902755,2003022586,OL2-SC231,4.1137,1000037,0
4.2474154719,88.0000,1.0660,4.2474154719,2003024010,OL2-SC231,4.0977,1000038,0
5.3921225917,100.0000,1.0687,5.3921225917,2003025832,OL2-SC231,4.3213,1000039,0
5.0511678988,96.0000,1.0691,5.0511678988,2003027632,OL2-SC231,4.3799,1000040,1
4.3120958278,65.0000,1.0703,4.3120958278,2003029487,OL2-SC231,4.4930,1000041,0
3.9219871349,74.0000,1.0660,3.9219871349,2003031209,OL2-SC231,3.8970,1000042,1
3.8888654814,82.0000,1.0638,3.8888654814,2003032925,OL2-SC231,3.6422,1000043,1
3.8779202744,80.0000,1.0643,3.8779202744,2003034442,OL2-SC231,3.7199,1000044,1
3.8960846938,82.0000,1.0639,3.8960846938,2003035825,OL2-SC231,3.8076,1000045,0
3.8131360093,81.0000,1.0629,3.8131360093,2003037627,OL2-SC231,3.7327,1000046,0
3.8550941877,85.0000,1.0619,3.8550941877,2003039289,OL2-SC231,3.5461,1000047,0
3.7989719747,84.0000,1.0614,3.7989719747,2003041071,OL2-SC231,3.5429,1000048,1
3.7795168823,88.0000,1.0587,3.7795168823,2003042710,OL2-SC231,3.3120,1000049,0
3.7003144452,86.0000,1.0585,3.7003144452,2003044516,OL2-SC231,3.3740,1000050,1
3.6077087921,79.0000,1.0598,3.6077087921,2003045997,OL2-SC231,3.4560,1000051,1
3.6596400163,80.0000,1.0605,3.6596400163,2003047356,OL2-SC231,3.5710,1000052,1
